comment,label
mẫu đẹp hiện_đại mặt đồng_hồ trung_tâm âm mặt taplo ipad dựng_đứng trống lái_xe,{EXTERIOR#Positive};{INTERIOR#Negative};
creta tầm giá xforce chút phiên_bản rẻ thiết_kế vận_hành hút bản_nline tùy dân_chơi giá doanh_số xforce yaris,{COST#Neutral};{EXTERIOR#Neutral};
giá cx5 dl mặc_dù rộng say cx5,{COST#Positive};
giá đợi chương_trình khuyến_mại,{COST#Negative};
creta xe mượt_mà hyundai phân_khúc khung gầm treo âm_thân vỏ động_cơ vô_lăng phối_hợp mượt tucson santafe kona mượt trừ thiết_kế rối_mắt đẹp,{EXTERIOR#Positive};{INTERIOR#Positive};{PERFORMANCE#Positive};{BRAND#Positive};
mê kiểu thiết_kế creata,{EXTERIOR#Positive};{INTERIOR#Positive};
nội thất_đỡ rối_rắm cũ rối nút san_sát trông_chờ hơi thất_vọng mong việt_nam giá rẻ,{INTERIOR#Negative};
form_dáng thể_thao đẹp_đẽ,{EXTERIOR#Positive};
cốp điện cảnh_báo mù ngon,{FEATURES#Neutral};
creta giá công_nhận thuyết_phục,{COST#Positive};
xe đô_thị creta vật_liệu nhẹ hợp_lý trọng_lượng giúp xe tiết_kiệm xăng linh_hoạt phố đông,{PERFORMANCE#Positive};
creta thiết_kế rẻ xe tiêu_chuẩn cỡ b gầm cao_giá lăn bánh_bản tiêu_chuẩn 650 tr thuế_trước_bạ dự_kiến dòng xe bán_chạy,{EXTERIOR#Positive};{COST#Positive};
công_thức creta thẳng nline,{COST#Neutral};
ok việt_nam lăn bánh 850 tr 900 tr khái_niệm xe hàn rẻ xe nhật mua phụ_tùng bảo_dưỡng kia xe trung_bình phụ_tùng đắt hồn,{COST#Negative};
lan bánh_chơi,{COST#Positive};
tiêu_chuẩn giá 590 tr may_ra cạnh_tranh xfoce yaris cross,{COST#Neutral};
phom đẹp tiền_nhiệm,{EXTERIOR#Positive};
khung gầm ấn_độ lởm tỷ bạc,{EXTERIOR#Negative};{COST#Negative};
xe đẹp lắm,{EXTERIOR#Positive};
750 tr suy_nghĩ,{COST#Neutral};
cụ mua xong tiếc lắm cũ_bản đẹp elantra ra_mắt đứt_bản cũ,{EXTERIOR#Positive};
giá trưng_bày,{COST#Negative};
mấy xe hyundai dấy creta,{EXTERIOR#Positive};
việt_nam tầm suy_nghĩ lụm cx5 premium bữa đợi ra_mắt việt_nam,{COST#Neutral};
triêu ok hít khói thui,{COST#Neutral};
xe đẹp giá hơi hãng phân_khúc,{EXTERIOR#Positive};{COST#Negative};
mặt đẹp ghê_thích kiểu,{EXTERIOR#Positive};
việt_nam cắt cửa_sổ trời cam_ghế điện cốp điện,{FEATURES#Negative};
việt_nam giá đổi xác_định cháy hàng,{COST#Neutral};
n_line thái lọc không_khí chỗ bệ tì,{FEATURES#Negative};
santafe thiết_kế việt_nam khéo cháy hàng bia kèm_lạc,{EXTERIOR#Positive};
n line ấn đẹp,{EXTERIOR#Positive};
bàn việt_nam lăn bánh tr,{COST#Negative};
ngoại thất_nhìn lạ_lạ nội_thất phổ_thông,{EXTERIOR#Neutral};{INTERIOR#Negative};
đèn rối_mắt,{EXTERIOR#Negative};
giá việt_nam mua mấy hạng,{COST#Negative};
hyundai ngáo giá haha,{COST#Negative};
động_cơ chẳng nline giả_cầy thái_neo giá tỏi vkl,{PERFORMANCE#Negative};{COST#Negative};
900 tr lựa_chọn hạng điên mua 900 tr,{COST#Negative};
tập_đoàn hyundai_thua kia thiết_kế kia xe xuyên suốt thiết_kế gu hyundai nát chán chả,{BRAND#Negative};{INTERIOR#Neutral};
đầu xe đẹp,{EXTERIOR#Positive};
tr thi mơi thi mua croos,{COST#Negative};
dẹp đi hrv g giá hạng mẹ hổ_trừ giá hãng,{COST#Negative};
hyundai dòng xe thiết_kế đồng_nhất ngôn_ngữ,{FEATURES#Negative};
đẹp,{EXTERIOR#Positive};{INTERIOR#Positive};
8 x,{COST#Neutral};
thái giá ngang crv ngáo_vờ cờ_lờ,{COST#Negative};
lăn bánh hạng b máy_yếu căng,{COST#Negative};{PERFORMANCE#Negative};
xe phom_dáng đẹp hài_hòa đẹp đời creta,{EXTERIOR#Positive};
màu đen đẹp,{EXTERIOR#Positive};
n line sàn,{PERFORMANCE#Negative};
phân_khúc rộng tý,{INTERIOR#Negative};
dáng xe đẹp,{EXTERIOR#Positive};
phân_khúc tiền mua base,{COST#Neutral};
nl lăn bánh_tầm đẹp,{COST#Positive};
nuốt cửa_sổ trời nc kín,{FEATURES#Negative};
ống xả đôi ngon,{EXTERIOR#Positive};
n_line cốp_cơ,{FEATURES#Negative};
giá turbo ăn_thua yaris cx5 thẳng tiến,{COST#Negative};
